AAAA,0.711880
AAAE,0.018733
AAAR,1.405030
AABO,0.711880
AADI,0.711880
AAET,0.018733
AAFI,0.018733
AAFT,1.117350
AAJA,0.711880
AALE,0.018733
AALI,0.018733
AALL,0.711880
AALS,0.018733
AALT,0.018733
AAMA,0.018733
AAMI,0.018733
AAMO,0.018733
AAND,3.484470
AANT,0.018733
AAPE,0.711880
AAPO,0.018733
AAPS,0.018733
AARA,0.018733
AARC,0.018733
AARD,1.405030
AARE,1.117350
AARI,0.018733
AARK,0.018733
AARO,0.711880
AARR,0.018733
AART,0.018733
AASH,0.018733
AASI,0.018733
AASK,0.018733
AASO,0.018733
AAST,0.018733
AATA,0.018733
AATH,0.018733
AATI,0.018733
AATL,0.018733
AATO,0.018733
AATP,0.018733
AATS,0.018733
AATT,1.117350
AAUC,0.018733
ABAB,1.628170
ABAC,2.321320
ABAD,2.215960
ABAG,0.711880
ABAK,0.711880
ABAL,0.711880
ABAM,0.018733
ABAN,2.583680
ABAR,2.321320
ABAS,2.215960
ABAT,2.098170
ABBA,1.810490
ABBE,1.964640
ABBI,2.791320
ABBL,0.711880
ABBO,1.964640
ABBY,1.405030
ABCB,0.018733
ABCT,0.018733
ABDO,0.018733
ABEA,2.657790
ABEC,0.018733
ABED,1.117350
ABEE,0.711880
ABEF,0.018733
ABEL,3.063260
ABEM,0.018733
ABEN,1.810490
ABER,1.405030
ABES,0.711880
ABET,3.109780
ABEW,0.018733
ABHA,0.018733
ABHI,0.018733
ABIB,0.711880
ABID,0.711880
ABIE,0.711880
ABIG,3.276830
ABIK,0.018733
ABIL,2.851950
ABIN,3.419930
ABIR,1.628170
ABIS,0.018733
ABIT,3.574080
ABIV,0.711880
ABJE,0.018733
ABJU,0.018733
ABLA,3.014470
ABLE,5.856460
ABLI,3.109780
ABLO,2.098170
ABLU,2.503640
ABLY,4.484640
ABMA,0.018733
ABNO,0.711880
ABOA,4.177620
ABOD,2.963170
ABOF,0.018733
ABOI,0.018733
ABOL,0.711880
ABOM,1.117350
ABON,1.405030
ABOO,3.350940
ABOR,3.314570
ABOS,0.018733
ABOT,1.810490
ABOU,6.125760
ABOV,4.449550
ABOW,0.711880
ABOX,0.711880
ABOY,2.583680
ABRA,2.726780
ABRE,3.196790
ABRI,2.503640
ABRO,2.726780
ABRU,1.964640
ABRY,2.909100
ABSA,0.018733
ABSE,2.963170
ABSF,0.711880
ABSO,3.419930
ABST,1.405030
ABSU,1.117350
ABTH,0.018733
ABTO,0.711880
ABUB,0.018733
ABUC,0.711880
ABUD,0.018733
ABUI,0.018733
ABUL,2.321320
ABUN,2.726780
ABUO,0.711880
